"sample_id","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","protein","moisture","slope1","bias1","slope2","bias2","product","date","time","int_time","temp","gps","utc_time","y","n","x","w","id"
"SEC 1 EAST",3.218618,3.129839,3.050673,2.974846,2.902565,2.833799,2.770854,2.713268,2.661781,2.621549,2.597474,2.590299,2.593789,2.585574,2.551947,2.511432,2.494898,2.521917,2.601221,2.701652,2.763505,2.772304,2.75212,2.714254,2.665205,2.612409,2.561467,2.512369,2.463824,2.418523,2.380708,2.3516,2.332959,2.325631,2.339626,2.401317,2.539347,2.728738,12.18,9.1157,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:19:27",10000,35.4,"GPGGA",201853,46.0442267166667,"N",-109.169853216667,"W",18441
"SEC 1 EAST",3.155855,3.070794,2.995324,2.924113,2.855025,2.792441,2.734778,2.677643,2.628129,2.59088,2.568145,2.563299,2.568681,2.561152,2.530128,2.492087,2.475788,2.505466,2.585689,2.685914,2.748098,2.756239,2.734641,2.696985,2.648435,2.596443,2.546873,2.498756,2.451115,2.408172,2.370858,2.341643,2.323577,2.316335,2.329136,2.390282,2.525054,2.710782,12.805,8.9509,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:19:48",10000,35.5,"GPGGA",201916,46.0442263666667,"N",-109.169584716667,"W",18442
"SEC 1 EAST",3.053425,2.971296,2.897083,2.827173,2.760408,2.702343,2.647897,2.59276,2.545601,2.509249,2.48848,2.485584,2.492219,2.48627,2.456887,2.420331,2.404852,2.435423,2.516259,2.615596,2.677407,2.686461,2.665516,2.628468,2.581077,2.52976,2.48144,2.434652,2.388161,2.34554,2.309459,2.281228,2.263633,2.256766,2.269379,2.329989,2.463614,2.647741,11.935,8.8656,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:20:12",10000,35.5,"GPGGA",201937,46.0442256666667,"N",-109.169340716667,"W",18443
"SEC 1 EAST",3.112557,3.03027,2.956203,2.886165,2.818736,2.755814,2.699919,2.647019,2.599349,2.565079,2.54805,2.548391,2.559451,2.557781,2.528864,2.490731,2.47665,2.510914,2.600799,2.71236,2.782969,2.793721,2.771854,2.730304,2.678077,2.622993,2.570024,2.519891,2.470595,2.42569,2.387653,2.356298,2.336215,2.328332,2.340652,2.402921,2.543606,2.740237,9.1994,9.031,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:20:35",10000,35.6,"GPGGA",202000,46.0442255333333,"N",-109.169072616667,"W",18444
"SEC 1 EAST",3.139562,3.055083,2.981584,2.912214,2.843362,2.780457,2.722764,2.66888,2.623012,2.587726,2.56873,2.568676,2.577821,2.574609,2.546661,2.508032,2.491759,2.52506,2.611412,2.720879,2.790358,2.8001,2.778249,2.738504,2.686531,2.631432,2.579892,2.52999,2.481151,2.43643,2.397818,2.368217,2.349215,2.340718,2.352301,2.413813,2.551556,2.744968,12.014,8.6981,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:21:00",10000,35.7,"GPGGA",202024,46.0442251833333,"N",-109.1687918,"W",18445
"SEC 1 EAST",3.111532,3.029482,2.955055,2.885382,2.818974,2.758337,2.702308,2.649733,2.602929,2.568546,2.549477,2.548238,2.557257,2.553587,2.523846,2.486578,2.472299,2.503529,2.586605,2.692367,2.758123,2.768734,2.749804,2.71145,2.662009,2.609273,2.557567,2.507955,2.459486,2.415681,2.379124,2.349294,2.330032,2.323156,2.336349,2.397312,2.535246,2.725909,11.312,9.2025,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:21:43",10000,35.8,"GPGGA",202114,46.0442242333333,"N",-109.168181433333,"W",18447
"SEC 1 EAST",3.045489,2.968084,2.89774,2.833822,2.771766,2.713136,2.660345,2.610785,2.566516,2.535279,2.519831,2.521605,2.534299,2.534158,2.505686,2.466803,2.4481,2.474584,2.554132,2.659729,2.732863,2.753789,2.740222,2.70752,2.663208,2.613798,2.565914,2.520686,2.474329,2.431757,2.396307,2.36733,2.347854,2.339816,2.350229,2.407834,2.539044,2.719427,9.2225,8.8744,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","21:27:18",10000,35,"GPGGA",32600,46.04144315,"N",-109.172720583333,"W",18448
"SEC 1 EAST",3.266401,3.178296,3.096087,3.019682,2.946071,2.87746,2.814479,2.754748,2.701401,2.660264,2.633906,2.624609,2.626419,2.615679,2.580939,2.540148,2.519872,2.545246,2.619456,2.714639,2.774909,2.78518,2.763924,2.727067,2.679707,2.626774,2.576449,2.529184,2.480221,2.435755,2.398091,2.368338,2.3502,2.343419,2.355377,2.415714,2.551202,2.734449,11.772,9.0856,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:22:25",10000,35.5,"GPGGA",202153,46.0442234833333,"N",-109.167681183333,"W",18449
"SEC 1 EAST",3.206724,3.12033,3.042057,2.970927,2.901951,2.832378,2.770806,2.714911,2.665983,2.629855,2.610957,2.608938,2.618376,2.615461,2.585228,2.545835,2.530228,2.563989,2.653885,2.766778,2.83645,2.846017,2.822265,2.779665,2.726984,2.670688,2.616957,2.56599,2.515602,2.470222,2.430664,2.399783,2.379774,2.370749,2.382375,2.443223,2.583372,2.780109,9.8191,8.8406,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:23:40",10000,35.6,"GPGGA",202213,46.0442228333333,"N",-109.16741045,"W",18450
"SEC 1 EAST",3.208364,3.121507,3.043867,2.97043,2.899696,2.833534,2.771057,2.710477,2.657948,2.617479,2.589727,2.580456,2.580466,2.568017,2.534317,2.494992,2.475833,2.501305,2.574575,2.666077,2.722495,2.72947,2.708297,2.672686,2.626096,2.574811,2.526332,2.479496,2.431916,2.38929,2.353065,2.325264,2.306901,2.300028,2.312549,2.372773,2.505466,2.685168,14.285,9.1175,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:25:16",10000,34.9,"GPGGA",202328,46.0439218666667,"N",-109.167306066667,"W",18451
